"absolute_panel","panel_id","page","panel_on_page","scene","scene_name","act_layer","board_geometry","gradient_band","panel_role","visual_meaning","allowed_language","visual_focus","prompt_seed","source_image","render_mode","jp2a_width","jp2a_chars","curation_notes"
"79","B1-P14-F1","14","1","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Establish","sets the page condition","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Establish; sets the page condition","","ascii-sparse","34"," .:-",""
"80","B1-P14-F2","14","2","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Disturb","introduces the interruption","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Disturb; introduces the interruption","","ascii-sparse","34"," .:-",""
"81","B1-P14-F3","14","3","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Answer","shows how darkness/crate responds","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Answer; shows how darkness/crate responds","","ascii-sparse","34"," .:-",""
"82","B1-P14-F4","14","4","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Transform","shows the change beginning","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Transform; shows the change beginning","","ascii-sparse","34"," .:-",""
"83","B1-P14-F5","14","5","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Clarify","makes one element more readable","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Clarify; makes one element more readable","","ascii-sparse","34"," .:-",""
"84","B1-P14-F6","14","6","4","Cube","Act One: Mystery / Birth","diagonal pressure","G10 black with pressure geometry","Hand-off","points toward the next page","single letters/broken clusters","flat box rotates into cube logic, edges faces corners, no stable full word","Act One: Mystery / Birth; diagonal pressure; flat box rotates into cube logic, edges faces corners, no stable full word; G10 black with pressure geometry; Hand-off; points toward the next page","","ascii-sparse","34"," .:-",""
"85","B1-P15-F1","15","1","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Establish","sets the page condition","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Establish; sets the page condition","reference-images/photo_5084721424672428300_x.jpg","ascii-medium","50"," .:-=+*#%@",""
"86","B1-P15-F2","15","2","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Disturb","introduces the interruption","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"87","B1-P15-F3","15","3","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Answer","shows how darkness/crate responds","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"88","B1-P15-F4","15","4","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Transform","shows the change beginning","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"89","B1-P15-F5","15","5","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Clarify","makes one element more readable","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"90","B1-P15-F6","15","6","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Hand-off","points toward the next page","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"91","B1-P16-F1","16","1","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Establish","sets the page condition","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"92","B1-P16-F2","16","2","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Disturb","introduces the interruption","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"93","B1-P16-F3","16","3","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Answer","shows how darkness/crate responds","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"94","B1-P16-F4","16","4","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Transform","shows the change beginning","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"95","B1-P16-F5","16","5","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Clarify","makes one element more readable","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"96","B1-P16-F6","16","6","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Hand-off","points toward the next page","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"97","B1-P17-F1","17","1","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Establish","sets the page condition","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"98","B1-P17-F2","17","2","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Disturb","introduces the interruption","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"99","B1-P17-F3","17","3","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Answer","shows how darkness/crate responds","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"100","B1-P17-F4","17","4","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Transform","shows the change beginning","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"101","B1-P17-F5","17","5","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Clarify","makes one element more readable","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"102","B1-P17-F6","17","6","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Hand-off","points toward the next page","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"103","B1-P18-F1","18","1","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Establish","sets the page condition","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"104","B1-P18-F2","18","2","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Disturb","introduces the interruption","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"105","B1-P18-F3","18","3","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Answer","shows how darkness/crate responds","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"106","B1-P18-F4","18","4","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Transform","shows the change beginning","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"107","B1-P18-F5","18","5","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Clarify","makes one element more readable","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"108","B1-P18-F6","18","6","5","Growing Grid","Act One: Mystery / Birth","diagonal pressure","G15 black with stress and planes","Hand-off","points toward the next page","repeated line/grid fragments","slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse","Act One: Mystery / Birth; diagonal pressure; slow-growing black-on-black grid, building-facade perspective, reflective window grid, isometric tile logic, no explicit cubes or warehouse; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"109","B1-P19-F1","19","1","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Establish","sets the page condition","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"110","B1-P19-F2","19","2","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Disturb","introduces the interruption","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"111","B1-P19-F3","19","3","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Answer","shows how darkness/crate responds","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"112","B1-P19-F4","19","4","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Transform","shows the change beginning","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"113","B1-P19-F5","19","5","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Clarify","makes one element more readable","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"114","B1-P19-F6","19","6","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Hand-off","points toward the next page","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"115","B1-P20-F1","20","1","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Establish","sets the page condition","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"116","B1-P20-F2","20","2","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Disturb","introduces the interruption","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"117","B1-P20-F3","20","3","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Answer","shows how darkness/crate responds","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"118","B1-P20-F4","20","4","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Transform","shows the change beginning","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"119","B1-P20-F5","20","5","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Clarify","makes one element more readable","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"120","B1-P20-F6","20","6","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Hand-off","points toward the next page","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"121","B1-P21-F1","21","1","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Establish","sets the page condition","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"122","B1-P21-F2","21","2","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Disturb","introduces the interruption","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"123","B1-P21-F3","21","3","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Answer","shows how darkness/crate responds","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"124","B1-P21-F4","21","4","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Transform","shows the change beginning","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"125","B1-P21-F5","21","5","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Clarify","makes one element more readable","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"126","B1-P21-F6","21","6","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Hand-off","points toward the next page","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"127","B1-P22-F1","22","1","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Establish","sets the page condition","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Establish; sets the page condition","","ascii-medium","50"," .:-=+*#%@",""
"128","B1-P22-F2","22","2","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Disturb","introduces the interruption","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Disturb; introduces the interruption","","ascii-medium","50"," .:-=+*#%@",""
"129","B1-P22-F3","22","3","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Answer","shows how darkness/crate responds","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Answer; shows how darkness/crate responds","","ascii-medium","50"," .:-=+*#%@",""
"130","B1-P22-F4","22","4","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Transform","shows the change beginning","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Transform; shows the change beginning","","ascii-medium","50"," .:-=+*#%@",""
"131","B1-P22-F5","22","5","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Clarify","makes one element more readable","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Clarify; makes one element more readable","","ascii-medium","50"," .:-=+*#%@",""
"132","B1-P22-F6","22","6","6","Growth Pressure / Planes and Corners","Act Two: Terror / Death","dense cluster","G15 black with stress and planes","Hand-off","points toward the next page","object/action fragments","repeated geometric pattern compresses inward, readable planes and unstable corners","Act Two: Terror / Death; dense cluster; repeated geometric pattern compresses inward, readable planes and unstable corners; G15 black with stress and planes; Hand-off; points toward the next page","","ascii-medium","50"," .:-=+*#%@",""
"133","B1-P23-F1","23","1","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Establish","sets the page condition","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Establish; sets the page condition","reference-images/photo_5084721424672428300_x.jpg","single-letter","60"," I",""
"134","B1-P23-F2","23","2","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Disturb","introduces the interruption","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Disturb; introduces the interruption","","single-letter","60"," I",""
"135","B1-P23-F3","23","3","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Answer","shows how darkness/crate responds","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Answer; shows how darkness/crate responds","","single-letter","60"," I",""
"136","B1-P23-F4","23","4","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Transform","shows the change beginning","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Transform; shows the change beginning","","single-letter","60"," I",""
"137","B1-P23-F5","23","5","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Clarify","makes one element more readable","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Clarify; makes one element more readable","","single-letter","60"," I",""
"138","B1-P23-F6","23","6","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Hand-off","points toward the next page","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Hand-off; points toward the next page","","single-letter","60"," I",""
"139","B1-P24-F1","24","1","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Establish","sets the page condition","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Establish; sets the page condition","","single-letter","60"," I",""
"140","B1-P24-F2","24","2","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Disturb","introduces the interruption","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Disturb; introduces the interruption","","single-letter","60"," I",""
"141","B1-P24-F3","24","3","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Answer","shows how darkness/crate responds","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Answer; shows how darkness/crate responds","","single-letter","60"," I",""
"142","B1-P24-F4","24","4","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Transform","shows the change beginning","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Transform; shows the change beginning","","single-letter","60"," I",""
"143","B1-P24-F5","24","5","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Clarify","makes one element more readable","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Clarify; makes one element more readable","","single-letter","60"," I",""
"144","B1-P24-F6","24","6","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Hand-off","points toward the next page","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Hand-off; points toward the next page","","single-letter","60"," I",""
"145","B1-P25-F1","25","1","7","Wood","Act Two: Terror / Death","dense cluster","G25 black with wood detail","Establish","sets the page condition","object/action fragments","wood grain emerging from blackness","Act Two: Terror / Death; dense cluster; wood grain emerging from blackness; G25 black with wood detail; Establish; sets the page condition","","single-letter","60"," I",""
